Заказ=
Дата=21.08.2017

Карта=1
Материал=ДСП бук
Длина=2750
Ширина=1830
КоличествоПлит=1
КоличествоРезов=19
ДлинаРезов=21081
4	1436	570	0	0	0
4	1436	570	0	575	0
4	1436	570	0	1150	0
39	600	70	0	1725	0
35	336	570	1441	0	0
35	336	570	1441	575	0
37	336	570	1441	1150	0
41	931	570	1782	0	0
42	931	570	1782	575	0
3	537	575	1782	1150	0
36	336	570	2324	1150	0
Обрезок	931	80	0	1730	0

Карта=2
Материал=ДСП бук
Длина=2750
Ширина=1830
КоличествоПлит=1
КоличествоРезов=17
ДлинаРезов=19560
1	1090	570	0	0	0
1	1090	570	0	575	0
1	1090	570	0	1150	0
1	1090	570	1095	0	0
1	1090	570	1095	575	0
1	1090	570	1095	1150	0
29	494	275	2190	0	0
29	494	275	2190	280	0
23	494	269	2190	560	0
23	494	269	2190	834	0
35	336	570	2190	1108	0
Обрезок	494	127	0	1683	0
Обрезок	153	570	341	0	0
Обрезок	1090	85	0	1725	0
Обрезок	1090	85	0	1725	0

Карта=3
Материал=ДСП бук
Длина=2750
Ширина=1830
КоличествоПлит=1
КоличествоРезов=35
ДлинаРезов=29900
6	1125	575	0	0	0
1	1090	570	0	580	0
1	1090	570	0	1155	0
22	1125	120	1130	0	0
22	1125	120	1130	125	0
22	1125	120	1130	250	0
22	1125	120	1130	375	0
9	450	575	1130	500	0
34	616	570	1585	500	0
19	355	135	1130	1080	0
19	355	135	1490	1080	0
28	355	129	1850	1080	0
44	688	575	1130	1220	0
30	347	570	1823	1220	0
26	468	269	2260	0	0
20	468	135	2260	274	0
27	468	129	2260	414	0
27	468	129	2260	548	0
28	355	129	2260	682	0
35	336	570	2260	816	0
Обрезок	468	419	0	1391	0
Обрезок	127	570	341	0	0
Обрезок	80	575	1045	0	0
Обрезок	1125	80	0	1730	0

Карта=4
Материал=ДСП бук
Длина=2750
Ширина=1830
КоличествоПлит=1
КоличествоРезов=32
ДлинаРезов=39924
38	2540	90	0	0	0
38	2540	90	0	95	0
38	2540	90	0	190	0
38	2540	90	0	285	0
38	2540	90	0	380	0
38	2540	90	0	475	0
5	1125	697	0	570	0
5	1125	697	1130	570	0
21	159	376	2260	570	0
24	299	515	0	1272	0
24	299	515	304	1272	0
22	1125	120	608	1272	0
31	1125	70	608	1397	0
31	1125	70	608	1472	0
43	1090	165	608	1547	0
33	1090	70	608	1717	0
32	600	120	1738	1272	0
32	600	120	1738	1397	0
32	600	120	1738	1522	0
39	600	70	1738	1647	0
21	159	376	2343	1272	0
Обрезок	185	1810	2545	0	0
Обрезок	116	697	2424	0	0

Карта=5
Материал=ДСП бук
Длина=2750
Ширина=1830
КоличествоПлит=1
КоличествоРезов=23
ДлинаРезов=24577
7	1125	575	0	0	0
7	1125	575	0	580	0
22	1125	120	0	1160	0
22	1125	120	0	1285	0
22	1125	120	0	1410	0
22	1125	120	0	1535	0
22	1125	120	0	1660	0
4	1436	570	1130	0	0
25	468	275	1130	575	0
25	468	275	1603	575	0
26	468	269	2076	575	0
40	882	165	1130	855	0
20	468	135	2017	855	0
5	1125	697	1130	1025	0
Обрезок	159	1810	2571	0	0
Обрезок	1436	83	0	1727	0
Обрезок	306	697	1130	0	0


Заказ=
Дата=21.08.2017

Карта=1
Материал=ДВП ламинированная белая
Длина=2440
Ширина=1830
КоличествоПлит=1
КоличествоРезов=11
ДлинаРезов=13816
5	1233	1118	0	0	0
1	1064	1118	1238	0	0
2	494	500	0	1123	0
2	494	500	499	1123	0
2	494	500	998	1123	0
4	355	500	1497	1123	0
4	355	500	1857	1123	0
Обрезок	2420	182	0	1628	0
Обрезок	203	500	2217	0	0
Обрезок	113	1118	2307	0	0

Карта=2
Материал=ДВП ламинированная белая
Длина=2440
Ширина=1830
КоличествоПлит=1
КоличествоРезов=4
ДлинаРезов=6859
3	809	910	0	0	0
Обрезок	1606	1810	814	0	0
Обрезок	809	895	0	915	0

